antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Kombinasi
Lemon Tea Ice,Nasi Goreng Sambal Ijo,0.01338055883510429,0.02397051983828843,0.00128796823011699,0.09625668449197859,4.015627743634766,1,0.0009672292791127374,1.079985282782485,0.7611576474759562,0.03571428571428571,0.0740614562602285,0.07499401388778033,"frozenset({'Lemon Tea Ice', 'Nasi Goreng Sambal Ijo'})"
Iced Lychee Tea,Nasi Goreng Sambal Ijo,0.01749490179242245,0.02397051983828843,0.001431075811241101,0.081799591002045,3.412508012086805,1,0.00101171392075693,1.062980881512421,0.719548831112082,0.03574620196604111,0.05924930787354421,0.07075054176967921,"frozenset({'Iced Lychee Tea', 'Nasi Goreng Sambal Ijo'})"
Iced Lychee Tea,French Fries,0.01749490179242245,0.0264033487173983,0.00157418339236521,0.08997955010224948,3.407884017490481,1,0.001112259399563244,1.069862387589196,0.7191441396706854,0.03719357565511412,0.06530034927821171,0.07480007315410576,"frozenset({'French Fries', 'Iced Lychee Tea'})"
Lemon Tea Ice,Tahu Goreng Lada Garam,0.01338055883510429,0.02504382669671926,0.001073306858430825,0.0802139037433155,3.202941176470588,1,0.0007382064618592177,1.059981420975078,0.6971147453796036,0.02873563218390804,0.05658723802904155,0.06153552330022917,"frozenset({'Lemon Tea Ice', 'Tahu Goreng Lada Garam'})"
Mineral Water,Nasi Goreng Sambal Ijo,0.06303888948517047,0.02397051983828843,0.004507888805409466,0.07150964812712826,2.983233096718451,1,0.002996813854421515,1.051200454795193,0.7095205972215403,0.05464006938421509,0.04870665205825894,0.1297846748098328,"frozenset({'Mineral Water', 'Nasi Goreng Sambal Ijo'})"
Iced Lychee Tea,Nasi Goreng Sambal Cikur,0.01749490179242245,0.02085792994883904,0.001073306858430825,0.06134969325153374,2.941312651927306,1,0.0007083994223826592,1.043138283779995,0.6717682615978442,0.02879078694817658,0.04135432900005918,0.0564038346189058,"frozenset({'Nasi Goreng Sambal Cikur', 'Iced Lychee Tea'})"
Lemon Tea Ice,French Fries,0.01338055883510429,0.0264033487173983,0.001037529963149798,0.07754010695187166,2.93675274988044,1,0.0006842384021928745,1.055435210375922,0.6684318391263084,0.02677746999076639,0.05252355599940341,0.0584177499529006,"frozenset({'Lemon Tea Ice', 'French Fries'})"
Mineral Water,Tahu Goreng Lada Garam,0.06303888948517047,0.02504382669671926,0.004615219491252549,0.0732122587968218,2.923365493757094,1,0.003036484467832302,1.051973531757735,0.7021940390974257,0.05529361337333905,0.04940574091335974,0.128748986541268,"frozenset({'Tahu Goreng Lada Garam', 'Mineral Water'})"
Mineral Water,French Fries,0.06303888948517047,0.0264033487173983,0.004686773281814604,0.07434733257661748,2.815829665107094,1,0.003022335499980115,1.051794788203522,0.6882514918710408,0.05529759392148586,0.0492441955259999,0.1259270538221841,"frozenset({'French Fries', 'Mineral Water'})"
Iced Lychee Tea,Tahu Goreng Lada Garam,0.01749490179242245,0.02504382669671926,0.001109083753711853,0.06339468302658487,2.531349693251534,1,0.0006709444651463018,1.040946656649136,0.6157258945498882,0.02677029360967185,0.03933597979068928,0.05384019865614958,"frozenset({'Tahu Goreng Lada Garam', 'Iced Lychee Tea'})"
